

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 19 13:38:43 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Janus (610)                     {source: sat415_merged_DE437}
Center body name: Saturn (699)                    {source: sat415_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2010-Jan-02 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455197.565972222, A.D. 2010-Jan-01 01:35:00.0000,  9.545184078470946E+04, -1.074145014856319E+05,  4.659270485779922E+04,  1.230778229913884E+01,  8.384040168828058E+00, -5.562934626469480E+00,
2455197.566666667, A.D. 2010-Jan-01 01:36:00.0000,  9.618840492523959E+04, -1.069093266115997E+05,  4.625800462372632E+04,  1.224427561690750E+01,  8.455065086082380E+00, -5.593702261274094E+00,
2455197.567361111, A.D. 2010-Jan-01 01:37:00.0000,  9.692114427318943E+04, -1.063999005684375E+05,  4.592146510797008E+04,  1.218028965783879E+01,  8.525745347074590E+00, -5.624243820217117E+00,
2455197.568055556, A.D. 2010-Jan-01 01:38:00.0000,  9.765003015217854E+04, -1.058862441180631E+05,  4.558309991020985E+04,  1.211582709928920E+01,  8.596078202965224E+00, -5.654558134006905E+00,
2455197.568750000, A.D. 2010-Jan-01 01:39:00.0000,  9.837503404701187E+04, -1.053683781868622E+05,  4.524292269998878E+04,  1.205089063672368E+01,  8.666060920348533E+00, -5.684644043148166E+00,
2455197.569444444, A.D. 2010-Jan-01 01:40:00.0000,  9.909612760476205E+04, -1.048463238647593E+05,  4.490094721612482E+04,  1.198548298358545E+01,  8.735690781352817E+00, -5.714500397981478E+00,
2455197.570138889, A.D. 2010-Jan-01 01:41:00.0000,  9.981328263584465E+04, -1.043201024042826E+05,  4.455718726611945E+04,  1.191960687116530E+01,  8.804965083739900E+00, -5.744126058722290E+00,
2455197.570833333, A.D. 2010-Jan-01 01:42:00.0000,  1.005264711150847E+05, -1.037897352196235E+05,  4.421165672556405E+04,  1.185326504847016E+01,  8.873881141003714E+00, -5.773519895499412E+00,
2455197.571527778, A.D. 2010-Jan-01 01:43:00.0000,  1.012356651827758E+05, -1.032552438856888E+05,  4.386436953754385E+04,  1.178646028209128E+01,  8.942436282467993E+00, -5.802680788392985E+00,
2455197.572222222, A.D. 2010-Jan-01 01:44:00.0000,  1.019408371457313E+05, -1.027166501371490E+05,  4.351533971203986E+04,  1.171919535607174E+01,  9.010627853383058E+00, -5.831607627471930E+00,
